model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,TIMEOUT,1595962,gpt5,340012,4,postcondition_repair USELEMMA INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251126-025728/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251126-033235/verus-repair.log
o4mini,NR,NR__impl_u__wrapped_token__start_map_and_acquire_lock.rs,TIMEOUT,1592318,gpt5,631131,9,postcondition_repair precondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-120421/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-080750/verus-repair.log
gpt5,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,TIMEOUT,1589039,claude,826840,13,postcondition_repair precondition_repair LOOPINV LOOPINV ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT LOOPINV LOOPINV LOOPINV,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251128-152727/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251202-051820/verus-repair.log
claude,NR,NR__impl_u__wrapped_token__impl2__register_failed_map.rs,FAILED,1584776,gpt5,159895,3,postcondition_repair USELEMMA,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251201-205621/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251128-053009/verus-repair.log
gpt5,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,TIMEOUT,1576158,claude,1514991,14,postcondition_repair USELEMMA USELEMMA EXTENSIONAL_EQUALITY CASE_ANALYSIS COMPUTE CASE_ANALYSIS COMPUTE ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251125-230235/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251130-200619/verus-repair.log
o4mini,OS,OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs,FAILED,1568483,claude,276684,6,postcondition_repair precondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable-20251128-153129/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable-20251202-053345/verus-repair.log
o4mini,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,TIMEOUT,1555574,gpt5,109516,4,postcondition_repair postcondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251128-135958/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251128-145310/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant.rs,TIMEOUT,1546867,claude-s4,579119,9,postcondition_repair USELEMMA EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS CASE_ANALYSIS CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251127-231224/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251203-192129/verus-repair.log
claude,NR,NR__impl_u__os_refinement__extra_mappings_submap.rs,FAILED,1534802,claude-s4,1265313,19,postcondition_repair REVEAL_OPAQUE EXTENSIONAL_EQUALITY INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT CASE_ANALYSIS CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251201-150843/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251203-190137/verus-repair.log
claude,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,FAILED,1466361,gpt5,489433,7,postcondition_repair USELEMMA INSTANTIATE_FORALL INSTANTIATE_FORALL USELEMMA USELEMMA,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251201-044441/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251126-114009/verus-repair.log
claude-s4,NR,NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted.rs,FAILED,1465239,claude,445279,6,postcondition_repair postcondition_repair USELEMMA USELEMMA ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251203-182830/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251201-143957/verus-repair.log
gpt5,OS,OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs,TIMEOUT,1454697,claude,276684,6,postcondition_repair precondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable-20251128-162727/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable-20251202-053345/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__lemma_map_soundness_equality.rs,TIMEOUT,1447061,gpt5,236321,5,postcondition_repair USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251128-003909/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251127-210554/verus-repair.log
gpt5,NR,NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted.rs,TIMEOUT,1444080,claude,445279,6,postcondition_repair postcondition_repair USELEMMA USELEMMA ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251127-180320/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251201-143957/verus-repair.log
o4mini,NR,NR__impl_u__wrapped_token__impl2__register_failed_map.rs,FAILED,1442848,gpt5,159895,3,postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251128-091514/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251128-053009/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,FAILED,1395348,claude,1726940,17,postcondition_repair postcondition_repair postcondition_repair USELEMMA INSTANTIATE_EXISTS precondition_repair precondition_repair PRECONDITION_REPAIR EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS precondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251126-032728/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251130-225413/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings.rs,FAILED,1388388,gpt5,218462,4,postcondition_repair INSTANTIATE_FORALL REVEAL_OPAQUE,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings-20251128-021540/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings-20251127-223234/verus-repair.log
gpt5,OS,OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs,TIMEOUT,1385022,claude,602816,11,postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair LOOPINV ADD_TRIGGER_ASSERT LOOPINV,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251128-145727/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251202-051315/verus-repair.log
claude,NR,NR__impl_u__wrapped_token__start_map_and_acquire_lock.rs,FAILED,1369596,gpt5,631131,9,postcondition_repair precondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251201-225232/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-080750/verus-repair.log
gpt5,OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,TIMEOUT,1363400,claude,657412,14,precondition_repair postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL POSTCONDITION_REPAIR LOOPINV,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251129-094442/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251202-105211/verus-repair.log
o4mini,OS,OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3.rs,TIMEOUT,1331396,claude,835171,18,postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-o4mini/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251128-123748/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251202-044254/verus-repair.log
gpt5,NR,NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant.rs,TIMEOUT,1311962,claude-s4,579119,9,postcondition_repair USELEMMA EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS CASE_ANALYSIS CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251127-201339/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251203-192129/verus-repair.log
gpt5,OS,OS__kernel__mem_util__impl0__get_address_space_va_range_none.rs,TIMEOUT,1297488,claude-s4,199892,5,postcondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__mem_util__impl0__get_address_space_va_range_none-20251128-195713/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__mem_util__impl0__get_address_space_va_range_none-20251204-052313/verus-repair.log
claude,OS,OS__kernel__syscall_mmap__impl0__syscall_mmap.rs,FAILED,1260816,claude-s4,1665599,20,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251202-070805/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251204-052547/verus-repair.log
claude-s4,OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,FAILED,1223176,claude,657412,14,precondition_repair postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL POSTCONDITION_REPAIR LOOPINV,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251204-113820/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251202-105211/verus-repair.log
gpt5,OS,OS__kernel__syscall_mmap__impl0__syscall_mmap.rs,TIMEOUT,1222811,claude-s4,1665599,20,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251128-203420/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251204-052547/verus-repair.log
o4mini,IR,IR__host_impl_v__impl2__host_noreceive_noclock_next.rs,TIMEOUT,1182997,claude,1347439,20,postcondition_repair postcondition_repair postcondition_repair USELEMMA CASE_ANALYSIS USELEMMA CASE_ANALYSIS USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT INSTANTIATE_EXISTS SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251126-160428/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251201-024853/verus-repair.log
claude,NR,NR__impl_u__os_refinement__lemma_map_soundness_equality.rs,FAILED,1173406,gpt5,236321,5,postcondition_repair USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251201-155234/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251127-210554/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path.rs,TIMEOUT,1143958,claude-s4,401472,11,postcondition_repair USELEMMA INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT CASE_ANALYSIS NONLINEAR_ARITHMETIC USELEMMA BIT_VECTOR_REASONING COMPUTE,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251128-205336/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251204-044502/verus-repair.log
gpt5,OS,OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs,TIMEOUT,1130259,claude,204651,6,postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA USELEMMA,all_batch_results-cyy-gpt5/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251128-081550/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251202-023708/verus-repair.log
claude-s4,OS,OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame.rs,FAILED,1129593,gpt5,326472,9,precondition_repair INSTANTIATE_FORALL postcondition_repair postcondition_repair postcondition_repair SEQSETMAP USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame-20251204-104607/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame-20251129-080601/verus-repair.log
gpt5,OS,OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint.rs,TIMEOUT,1117037,claude,563791,11,precondition_repair postcondition_repair USELEMMA USELEMMA USELEMMA ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251129-111442/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251202-112725/verus-repair.log
